,Price1,Date_time,Open,Prev_close,Day_high,Day_low,Change1
1,"1,244.20","Nov 15,2021 03:27 PM","1,295.00","1,287.25","1,299.00","1,241.50",-43.05
1,"1,245.45","Nov 15,2021 03:40 PM","1,295.00","1,287.25","1,299.00","1,241.50",-41.8
1,"1,245.45","Nov 15,2021 03:59 PM","1,295.00","1,287.25","1,299.00","1,241.50",-41.8
1,"1,232.55","Nov 16,2021 09:35 AM","1,245.45","1,245.45","1,247.00","1,232.10",-12.9
1,"1,231.05","Nov 16,2021 09:36 AM","1,245.45","1,245.45","1,247.00","1,231.00",-14.4
1,"1,230.45","Nov 16,2021 09:37 AM","1,245.45","1,245.45","1,247.00","1,230.20",-15
1,"1,230.05","Nov 16,2021 09:40 AM","1,245.45","1,245.45","1,247.00","1,228.65",-15.4
1,"1,230.75","Nov 16,2021 09:42 AM","1,245.45","1,245.45","1,247.00","1,228.65",-14.7
1,"1,230.60","Nov 16,2021 09:42 AM","1,245.45","1,245.45","1,247.00","1,228.65",-14.85
1,"1,230.10","Nov 16,2021 09:43 AM","1,245.45","1,245.45","1,247.00","1,228.65",-15.35
1,"1,230.85","Nov 16,2021 09:43 AM","1,245.45","1,245.45","1,247.00","1,228.65",-14.6
1,"1,231.15","Nov 16,2021 09:44 AM","1,245.45","1,245.45","1,247.00","1,228.65",-14.3
1,"1,230.05","Nov 16,2021 09:44 AM","1,245.45","1,245.45","1,247.00","1,228.65",-15.4
1,"1,256.95","Nov 16,2021 09:57 AM","1,245.45","1,245.45","1,261.05","1,228.65",11.5
1,"1,245.15","Nov 16,2021 11:01 AM","1,245.45","1,245.45","1,261.05","1,228.65",-0.3
1,"1,242.85","Nov 16,2021 11:10 AM","1,245.45","1,245.45","1,261.05","1,228.65",-2.6
1,"1,242.75","Nov 16,2021 11:11 AM","1,245.45","1,245.45","1,261.05","1,228.65",-2.7
1,"1,243.45","Nov 16,2021 11:12 AM","1,245.45","1,245.45","1,261.05","1,228.65",-2
1,"1,243.95","Nov 16,2021 11:13 AM","1,245.45","1,245.45","1,261.05","1,228.65",-1.5
1,"1,242.50","Nov 16,2021 11:25 AM","1,245.45","1,245.45","1,261.05","1,228.65",-2.95
1,"1,240.30","Nov 16,2021 11:34 AM","1,245.45","1,245.45","1,261.05","1,228.65",-5.15
1,"1,242.20","Nov 16,2021 11:40 AM","1,245.45","1,245.45","1,261.05","1,228.65",-3.25
1,"1,239.80","Nov 16,2021 11:46 AM","1,245.45","1,245.45","1,261.05","1,228.65",-5.65
1,"1,240.80","Nov 16,2021 11:48 AM","1,245.45","1,245.45","1,261.05","1,228.65",-4.65
1,"1,241.20","Nov 16,2021 11:48 AM","1,245.45","1,245.45","1,261.05","1,228.65",-4.25
1,"1,237.00","Nov 16,2021 11:55 AM","1,245.45","1,245.45","1,261.05","1,228.65",-8.45
1,"1,239.40","Nov 16,2021 12:00 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.05
1,"1,238.90","Nov 16,2021 12:01 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.55
1,"1,238.95","Nov 16,2021 12:02 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.5
1,"1,239.35","Nov 16,2021 12:03 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.1
1,"1,237.00","Nov 16,2021 12:04 PM","1,245.45","1,245.45","1,261.05","1,228.65",-8.45
1,"1,242.55","Nov 16,2021 12:06 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.9
1,"1,241.60","Nov 16,2021 12:15 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.85
1,"1,241.60","Nov 16,2021 12:15 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.85
1,"1,242.05","Nov 16,2021 12:18 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.4
1,"1,242.05","Nov 16,2021 12:18 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.4
1,"1,241.65","Nov 16,2021 12:22 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.8
1,"1,241.65","Nov 16,2021 12:22 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.8
1,"1,240.10","Nov 16,2021 12:31 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.35
1,"1,240.20","Nov 16,2021 12:32 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.25
1,"1,240.95","Nov 16,2021 12:33 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.5
1,"1,240.15","Nov 16,2021 12:34 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.3
1,"1,239.90","Nov 16,2021 12:35 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.55
1,"1,239.45","Nov 16,2021 12:36 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6
1,"1,239.65","Nov 16,2021 12:37 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.8
1,"1,238.00","Nov 16,2021 12:38 PM","1,245.45","1,245.45","1,261.05","1,228.65",-7.45
1,"1,238.00","Nov 16,2021 12:39 PM","1,245.45","1,245.45","1,261.05","1,228.65",-7.45
1,"1,238.75","Nov 16,2021 12:40 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.7
1,"1,239.70","Nov 16,2021 12:41 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.75
1,"1,240.20","Nov 16,2021 12:42 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.25
1,"1,239.15","Nov 16,2021 12:43 PM","1,245.45","1,245.45","1,261.05","1,228.65",-6.3
1,"1,240.30","Nov 16,2021 12:44 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.15
1,"1,240.35","Nov 16,2021 12:45 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.1
1,"1,240.70","Nov 16,2021 12:46 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.75
1,"1,241.95","Nov 16,2021 12:47 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.5
1,"1,241.35","Nov 16,2021 12:48 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.1
1,"1,241.30","Nov 16,2021 12:49 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.15
1,"1,241.05","Nov 16,2021 12:50 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.4
1,"1,241.75","Nov 16,2021 12:51 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.7
1,"1,241.50","Nov 16,2021 12:52 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.95
1,"1,241.60","Nov 16,2021 12:53 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.85
1,"1,241.00","Nov 16,2021 12:54 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.45
1,"1,241.60","Nov 16,2021 12:55 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.85
1,"1,241.70","Nov 16,2021 12:56 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.75
1,"1,241.75","Nov 16,2021 12:57 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.7
1,"1,241.00","Nov 16,2021 12:58 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.45
1,"1,240.30","Nov 16,2021 12:59 PM","1,245.45","1,245.45","1,261.05","1,228.65",-5.15
1,"1,241.40","Nov 16,2021 01:00 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.05
1,"1,241.20","Nov 16,2021 01:01 PM","1,245.45","1,245.45","1,261.05","1,228.65",-4.25
1,"1,241.50","Nov 16,2021 01:02 PM","1,245.45","1,245.45","1,261.05","1,228.65",-3.95
1,"1,242.60","Nov 16,2021 01:03 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.85
1,"1,243.15","Nov 16,2021 01:04 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.3
1,"1,242.50","Nov 16,2021 01:05 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.95
1,"1,242.80","Nov 16,2021 01:06 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.65
1,"1,242.75","Nov 16,2021 01:07 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.7
1,"1,242.65","Nov 16,2021 01:08 PM","1,245.45","1,245.45","1,261.05","1,228.65",-2.8
1,"1,244.25","Nov 16,2021 01:09 PM","1,245.45","1,245.45","1,261.05","1,228.65",-1.2
1,"1,244.85","Nov 16,2021 01:10 PM","1,245.45","1,245.45","1,261.05","1,228.65",-0.6
1,"1,246.30","Nov 16,2021 01:11 PM","1,245.45","1,245.45","1,261.05","1,228.65",0.850.07
1,"1,245.65","Nov 16,2021 01:12 PM","1,245.45","1,245.45","1,261.05","1,228.65",0.200.02
1,"1,246.80","Nov 16,2021 01:13 PM","1,245.45","1,245.45","1,261.05","1,228.65",1.350.11
1,"1,246.50","Nov 16,2021 01:14 PM","1,245.45","1,245.45","1,261.05","1,228.65",1.050.08
