"lat","lon","timezone","timezone_offset","current.dt","current.sunrise","current.sunset","current.temp","current.feels_like","current.pressure","current.humidity","current.dew_point","current.uvi","current.clouds","current.visibility","current.wind_speed","current.wind_deg","current.weather.id","current.weather.main","current.weather.description","current.weather.icon","minutely.dt","minutely.precipitation"
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672580,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672640,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672700,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672760,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672820,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672880,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637672940,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673000,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673060,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673120,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673180,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673240,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673300,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673360,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673420,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673480,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673540,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673600,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673660,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673720,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673780,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673840,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673900,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637673960,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637674020,0
23.34,85.3,"Asia/Kolkata",19800,1637670477,1637627895,1637667147,296.09,295.9,1014,56,286.85,0,0,3500,2.06,340,721,"Haze","haze","50n",1637674080,0
