airTemperature,cloudCover,humidity,precipitation,pressure,time,visibility,waterTemperature,windSpeed,windSpeed20m,windSpeed30m,place
23.94,100,95,0,1009.01,2021-11-21T21:00:00+00:00,24.14,28.06,1.58,1.5,1.66,Amaravathi
23.88,91.2,95.3,0,1009.39,2021-11-21T22:00:00+00:00,24.14,28.06,1.54,1.31,1.45,Amaravathi
23.81,82.4,95.6,0,1009.78,2021-11-21T23:00:00+00:00,24.14,28.05,1.51,1.11,1.24,Amaravathi
23.75,73.6,95.9,0.01,1010.17,2021-11-22T00:00:00+00:00,24.13,28.22,1.47,0.92,1.03,Amaravathi
24.75,68.5,92.63,0,1010.92,2021-11-22T01:00:00+00:00,24.13,28.21,1.72,1.33,1.45,Amaravathi
25.75,63.4,89.37,0,1011.67,2021-11-22T02:00:00+00:00,24.14,28.2,1.97,1.74,1.88,Amaravathi
26.74,58.3,86.1,0,1012.42,2021-11-22T03:00:00+00:00,24.14,28.2,2.22,2.15,2.3,Amaravathi
27.94,64.33,80.23,0.12,1011.86,2021-11-22T04:00:00+00:00,24.13,28.24,2.32,2.45,2.6,Amaravathi
29.14,70.37,74.37,0.24,1011.3,2021-11-22T05:00:00+00:00,24.13,28.29,2.42,2.74,2.9,Amaravathi
30.33,76.4,68.5,0.37,1010.75,2021-11-22T06:00:00+00:00,24.13,28.35,2.52,3.04,3.2,Amaravathi
30.24,81.37,69.17,0.48,1009.61,2021-11-22T07:00:00+00:00,24.13,28.4,2.72,2.66,2.82,Amaravathi
30.16,86.33,69.83,0.6,1008.47,2021-11-22T08:00:00+00:00,24.13,28.45,2.91,2.27,2.43,Amaravathi
30.07,91.3,70.5,0.72,1007.33,2021-11-22T09:00:00+00:00,24.14,28.48,3.1,1.89,2.05,Amaravathi
28.93,93.83,74.93,0.48,1007.76,2021-11-22T10:00:00+00:00,24.14,28.48,2.83,2.01,2.19,Amaravathi
27.8,96.37,79.37,0.24,1008.19,2021-11-22T11:00:00+00:00,24.13,28.47,2.56,2.13,2.34,Amaravathi
26.66,98.9,83.8,0,1008.62,2021-11-22T12:00:00+00:00,24.13,28.44,2.29,2.25,2.48,Amaravathi
26.18,94.3,86.27,0,1009.43,2021-11-22T13:00:00+00:00,24.14,28.42,2.04,1.98,2.18,Amaravathi
25.69,89.7,88.73,0,1010.23,2021-11-22T14:00:00+00:00,24.14,28.42,1.79,1.7,1.88,Amaravathi
25.2,85.1,91.2,0,1011.04,2021-11-22T15:00:00+00:00,24.14,28.41,1.54,1.43,1.58,Amaravathi
25.04,80.9,91.63,0,1010.84,2021-11-22T16:00:00+00:00,24.14,28.41,1.13,1.31,1.45,Amaravathi
24.88,76.7,92.07,0.01,1010.64,2021-11-22T17:00:00+00:00,24.14,28.4,0.73,1.19,1.31,Amaravathi
24.72,72.5,92.5,0.01,1010.44,2021-11-22T18:00:00+00:00,24.14,28.39,0.32,1.07,1.18,Amaravathi
24.55,81.57,93.13,0.01,1009.84,2021-11-22T19:00:00+00:00,24.14,28.38,0.65,1.01,1.11,Amaravathi
24.38,90.63,93.77,0,1009.23,2021-11-22T20:00:00+00:00,24.14,28.37,0.98,0.95,1.04,Amaravathi
24.21,99.7,94.4,0,1008.63,2021-11-22T21:00:00+00:00,24.14,28.36,1.31,0.89,0.97,Amaravathi
24.14,69.9,94.37,0,1008.82,2021-11-22T22:00:00+00:00,24.14,28.36,1.19,0.9,0.97,Amaravathi
24.07,40.1,94.33,0,1009.01,2021-11-22T23:00:00+00:00,24.14,28.35,1.06,0.9,0.98,Amaravathi
24,10.3,94.3,0,1009.2,2021-11-23T00:00:00+00:00,24.14,28.22,0.94,0.91,0.98,Amaravathi
24.95,9.6,89.23,0,1010.35,2021-11-23T01:00:00+00:00,24.14,28.21,1.14,0.81,0.86,Amaravathi
25.91,8.9,84.17,0,1011.49,2021-11-23T02:00:00+00:00,24.14,28.21,1.33,0.7,0.74,Amaravathi
26.86,8.2,79.1,0,1012.64,2021-11-23T03:00:00+00:00,24.14,28.21,1.53,0.6,0.62,Amaravathi
27.93,37.27,75.1,0.06,1012.1,2021-11-23T04:00:00+00:00,17.4,28.26,1.74,0.78,0.8,Amaravathi
29,66.33,71.1,0.12,1011.56,2021-11-23T05:00:00+00:00,10.66,28.33,1.94,0.95,0.99,Amaravathi
30.07,95.4,67.1,0.17,1011.02,2021-11-23T06:00:00+00:00,3.92,28.39,2.15,1.13,1.17,Amaravathi
30.32,74.73,65.6,0.13,1009.77,2021-11-23T07:00:00+00:00,10.66,28.44,2.24,0.8,0.83,Amaravathi
30.56,54.07,64.1,0.08,1008.53,2021-11-23T08:00:00+00:00,17.4,28.5,2.33,0.47,0.5,Amaravathi
30.81,33.4,62.6,0.03,1007.28,2021-11-23T09:00:00+00:00,24.14,28.53,2.42,0.14,0.16,Amaravathi
29.82,55.6,65.97,0.07,1007.64,2021-11-23T10:00:00+00:00,24.14,28.53,2.32,0.35,0.38,Amaravathi
28.83,77.8,69.33,0.12,1008.01,2021-11-23T11:00:00+00:00,24.14,28.51,2.23,0.56,0.6,Amaravathi
27.83,100,72.7,0.16,1008.37,2021-11-23T12:00:00+00:00,24.13,28.48,2.13,0.77,0.82,Amaravathi
27.22,97.53,76.83,0.81,1009.16,2021-11-23T13:00:00+00:00,19.67,28.46,1.88,0.7,0.73,Amaravathi
26.61,95.07,80.97,1.45,1009.94,2021-11-23T14:00:00+00:00,15.21,28.45,1.62,0.64,0.65,Amaravathi
26,92.6,85.1,2.1,1010.73,2021-11-23T15:00:00+00:00,10.74,28.44,1.37,0.57,0.56,Amaravathi
25.44,94.3,87.53,1.51,1010.78,2021-11-23T16:00:00+00:00,15.21,28.44,1.09,0.88,0.93,Amaravathi
24.88,96,89.97,0.92,1010.82,2021-11-23T17:00:00+00:00,19.67,28.43,0.81,1.19,1.3,Amaravathi
