lat,lon,timezone,timezone_offset,current.dt,current.sunrise,current.sunset,current.temp,current.feels_like,current.pressure,current.humidity,current.dew_point,current.uvi,current.clouds,current.visibility,current.wind_speed,current.wind_deg,current.weather.id,current.weather.main,current.weather.description,current.weather.icon,minutely.dt,minutely.precipitation
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966080,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966140,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966200,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966260,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966320,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966380,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966440,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966500,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966560,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966620,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966680,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966740,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966800,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966860,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966920,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636966980,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967040,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967100,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967160,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967220,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967280,0
17.38,78.48,Asia/Kolkata,19800,1636964229,1636937466,1636978226,300.41,302.85,1010,74,295.37,6.22,75,5000,2.57,90,721,Haze,haze,50d,1636967340,0
