Date,time,close,open,price,volume,valueChange,percentageChange,nifty50
11-11-2021,09:24:21,78167.5,78399.85,78226.2,546,-173.65,-0.221492771,17953.95
11-11-2021,09:25:02,78167.5,78399.85,78254.25,564,-145.6,-0.185714641,17964.25
11-11-2021,09:27:06,78167.5,78399.85,78090.35,693,-309.5,-0.394771163,17990
11-11-2021,09:35:14,78167.5,78399.85,78000,1237,-399.85,-0.510013731,17993
11-11-2021,09:36:04,78167.5,78399.85,78011.75,1240,-388.1,-0.495026457,17994
11-11-2021,09:36:49,78167.5,78399.85,78000.05,1245,-399.8,-0.509949955,17994.05
11-11-2021,09:54:51,78167.5,78399.85,78039.55,1593,-360.3,-0.459567206,17934.8
11-11-2021,09:57:49,78167.5,78399.85,78075.05,1614,-324.8,-0.414286507,17926.15
11-11-2021,10:48:13,78167.5,78399.85,77335,3844,-1064.85,-1.358229639,17863.1
11-11-2021,10:49:04,78167.5,78399.85,77320,3869,-1079.85,-1.377362329,17863.85
11-11-2021,10:55:12,78167.5,78399.85,77471.6,3944,-928.25,-1.183994612,17869.4
11-11-2021,11:26:50,78167.5,78399.85,77180.9,5280,-1218.95,-1.554786138,17856.2
11-11-2021,11:40:05,78167.5,78399.85,77030.25,5782,-1369.6,-1.746942118,17854
11-11-2021,11:45:05,78167.5,78399.85,77110.05,5927,-1289.8,-1.645156209,17867.6
11-11-2021,12:20:17,78167.5,78399.85,77010,7077,-1389.85,-1.772771249,17849.4
11-11-2021,12:25:05,78167.5,78399.85,77050,7195,-1349.85,-1.721750743,17851.45
11-11-2021,12:40:05,78167.5,78399.85,77046.05,7430,-1353.8,-1.726789018,17843.6
11-11-2021,12:55:58,78167.5,78399.85,77100,7726,-1299.85,-1.657975111,17861.9
11-11-2021,12:56:45,78167.5,78399.85,77166.85,7728,-1233,-1.572707091,17864.7
11-11-2021,12:57:31,78167.5,78399.85,77110.25,7735,-1289.6,-1.644901106,17865.9
11-11-2021,13:10:23,78167.5,78399.85,77155.2,7870,-1244.65,-1.587566813,17880.5
12-11-2021,09:30:06,77210.9,77580,77754.6,1741,174.6,0.225058005,17981.5
12-11-2021,09:40:05,77210.9,77580,77610.1,2047,30.1,0.038798659,17980.75
12-11-2021,09:50:08,77210.9,77580,77540.8,2589,-39.2,-0.050528487,17972.75
12-11-2021,10:00:06,77210.9,77580,77589.8,2751,9.8,0.012632122,17978.7
12-11-2021,10:10:06,77210.9,77580,77800,3379,220,0.283578242,17964.4
12-11-2021,10:20:16,77210.9,77580,77730.05,3501,150.05,0.193413251,17959
12-11-2021,10:30:15,77210.9,77580,77652.7,3653,72.7,0.093709719,17936.6
12-11-2021,10:40:13,77210.9,77580,77437.8,3928,-142.2,-0.183294664,17925.3
12-11-2021,10:50:12,77210.9,77580,77618.75,4517,38.75,0.04994844,17913.2
12-11-2021,11:00:14,77210.9,77580,77435.85,4621,-144.15,-0.185808198,17931.25
12-11-2021,11:10:11,77210.9,77580,77450.7,4710,-129.3,-0.166666667,17934.6
12-11-2021,11:20:06,77210.9,77580,77580.8,5077,0.8,0.001031194,17949.1
12-11-2021,11:30:13,77210.9,77580,77705.75,5350,125.75,0.162090745,17965.2
12-11-2021,11:35:10,77210.9,77580,77653.2,5397,73.2,0.094354215,17961.7
12-11-2021,11:40:16,77210.9,77580,77653,5405,73,0.094096417,17966.5
12-11-2021,11:45:10,77210.9,77580,77602.7,5425,22.7,0.029260119,17965.2
12-11-2021,11:50:12,77210.9,77580,77631.95,5509,51.95,0.066963135,17960.75
12-11-2021,11:55:13,77210.9,77580,77720,5594,140,0.180458881,17968
12-11-2021,12:00:10,77210.9,77580,77720,5622,140,0.180458881,17968.85
12-11-2021,12:05:05,77210.9,77580,77660.55,5668,80.55,0.103828306,17961.8
12-11-2021,12:10:04,77210.9,77580,77769.85,5886,189.85,0.244715133,17963
12-11-2021,12:15:05,77210.9,77580,77695.1,5955,115.1,0.14836298,17960.8
12-11-2021,12:20:12,77210.9,77580,77699.85,5975,119.85,0.154485692,17966.5
12-11-2021,12:25:05,77210.9,77580,77723.55,6069,143.55,0.185034803,17966.4
12-11-2021,12:30:05,77210.9,77580,77738.05,6096,158.05,0.203725187,17969
12-11-2021,12:35:05,77210.9,77580,77850,6294,270,0.348027842,17983.25
12-11-2021,12:40:04,77210.9,77580,77800,6319,220,0.283578242,17982.05
12-11-2021,12:45:04,77210.9,77580,77825,6498,245,0.315803042,17989.55
12-11-2021,12:50:05,77210.9,77580,77789.8,6540,209.8,0.270430523,17998.1
