Timestamp,lastPrice,change,pChange,open,close,vwap,pPriceBrand,basePrice,Date,Time
2021-11-11 20:04:17.017334+05:30,108.25,-1.9,-1.724920563,110.8,108.1,109.23,5,110.15,11-11-2021,20:04:17
2021-11-12 09:23:36.305914+05:30,108.4,0.3,0.277520814,109.2,108.1,109.03,5,108.1,12-11-2021,09:23:36
2021-11-12 10:06:13.676716+05:30,108.95,0.85,0.786308973,109.2,108.1,109.26,5,108.1,12-11-2021,10:06:13
2021-11-12 10:10:40.984093+05:30,108.85,0.75,0.693802035,109.2,108.1,109.25,5,108.1,12-11-2021,10:10:40
2021-11-12 10:36:58.210215+05:30,108.4,0.3,0.277520814,109.2,108.1,109.06,5,108.1,12-11-2021,10:36:58
2021-11-12 10:46:09.544123+05:30,108.45,0.35,0.323774283,109.2,108.1,108.95,5,108.1,12-11-2021,10:46:09
2021-11-12 10:56:09.143393+05:30,108,-0.1,-0.092506938,109.2,108.1,108.91,5,108.1,12-11-2021,10:56:09
2021-11-12 11:07:07.482594+05:30,108,-0.1,-0.092506938,109.2,108.1,108.85,5,108.1,12-11-2021,11:07:07
2021-11-12 11:16:26.361841+05:30,107.9,-0.2,-0.185013876,109.2,108.1,108.79,5,108.1,12-11-2021,11:16:26
2021-11-12 11:26:05.003851+05:30,107.7,-0.4,-0.370027752,109.2,108.1,108.73,5,108.1,12-11-2021,11:26:05
2021-11-12 11:36:09.638719+05:30,108.2,0.1,0.092506938,109.2,108.1,108.7,5,108.1,12-11-2021,11:36:09
2021-11-12 11:46:17.598123+05:30,108.5,0.4,0.370027752,109.2,108.1,108.7,5,108.1,12-11-2021,11:46:17
2021-11-12 12:30:11.241283+05:30,108.95,0.85,0.786308973,109.2,108.1,108.88,5,108.1,12-11-2021,12:30:11
2021-11-12 12:40:12.886434+05:30,109.25,1.15,1.063829787,109.2,108.1,108.89,5,108.1,12-11-2021,12:40:12
2021-11-12 12:50:40.956861+05:30,109,0.9,0.832562442,109.2,108.1,108.89,5,108.1,12-11-2021,12:50:40
2021-11-12 13:05:41.881277+05:30,108.9,0.8,0.740055504,109.2,108.1,108.89,5,108.1,12-11-2021,13:05:41
2021-11-12 13:10:55.878729+05:30,108.9,0.8,0.740055504,109.2,108.1,108.89,5,108.1,12-11-2021,13:10:55
2021-11-12 13:15:21.818666+05:30,109,0.9,0.832562442,109.2,108.1,108.89,5,108.1,12-11-2021,13:15:21
2021-11-12 13:25:21.529357+05:30,109,0.9,0.832562442,109.2,108.1,108.89,5,108.1,12-11-2021,13:25:21
2021-11-12 13:48:53.895213+05:30,108.95,0.85,0.786308973,109.2,108.1,108.88,5,108.1,12-11-2021,13:48:53
2021-11-12 13:58:54.615011+05:30,108.45,0.35,0.323774283,109.2,108.1,108.88,5,108.1,12-11-2021,13:58:54
2021-11-12 14:08:56.399462+05:30,108,-0.1,-0.092506938,109.2,108.1,108.85,5,108.1,12-11-2021,14:08:56
2021-11-12 14:18:57.730553+05:30,108.1,0,0,109.2,108.1,108.88,5,108.1,12-11-2021,14:18:57
2021-11-12 14:28:59.158053+05:30,108.25,0.15,0.138760407,109.2,108.1,108.85,5,108.1,12-11-2021,14:28:59
2021-11-12 14:39:00.192388+05:30,108,-0.1,-0.092506938,109.2,108.1,108.82,5,108.1,12-11-2021,14:39:00
2021-11-12 14:49:01.044551+05:30,108.2,0.1,0.092506938,109.2,108.1,108.8,5,108.1,12-11-2021,14:49:01
2021-11-12 14:59:04.186332+05:30,108.1,0,0,109.2,108.1,108.76,5,108.1,12-11-2021,14:59:04
2021-11-12 15:09:05.407464+05:30,108.25,0.15,0.138760407,109.2,108.1,108.75,5,108.1,12-11-2021,15:09:05
2021-11-12 15:19:06.155667+05:30,108.6,0.5,0.46253469,109.2,108.1,108.71,5,108.1,12-11-2021,15:19:06
2021-11-12 15:29:07.101526+05:30,108.65,0.55,0.508788159,109.2,108.1,108.72,5,108.1,12-11-2021,15:29:07
2021-11-12 15:39:08.233933+05:30,108.6,0.5,0.46253469,109.2,108.1,108.72,5,108.1,12-11-2021,15:39:08
2021-11-12 20:04:17.017334+05:30,108.45,0.35,0.323774,109.2,108.45,108.72,5,108.1,12-11-2021,20:04:17
2021-11-15 10:12:55.070024+05:30,108.05,-0.4,-0.368833564,110.25,108.45,108.95,5,108.45,15-11-2021,10:12:55
2021-11-15 10:22:56.367983+05:30,108.2,-0.25,-0.230520977,110.25,108.45,108.85,5,108.45,15-11-2021,10:22:56
2021-11-15 11:16:29.593118+05:30,107.75,-0.7,-0.645458737,110.25,108.45,108.48,5,108.45,15-11-2021,11:16:29
2021-11-15 11:26:30.379645+05:30,107.7,-0.75,-0.691562932,110.25,108.45,108.46,5,108.45,15-11-2021,11:26:30
2021-11-15 11:36:33.092528+05:30,107.55,-0.9,-0.829875519,110.25,108.45,108.41,5,108.45,15-11-2021,11:36:33
2021-11-15 11:46:34.086602+05:30,107.15,-1.3,-1.198709083,110.25,108.45,108.38,5,108.45,15-11-2021,11:46:34
2021-11-15 11:56:35.480530+05:30,107.4,-1.05,-0.968188105,110.25,108.45,108.32,5,108.45,15-11-2021,11:56:35
2021-11-15 12:06:36.295740+05:30,107.3,-1.15,-1.060396496,110.25,108.45,108.3,5,108.45,15-11-2021,12:06:36
2021-11-15 12:16:39.570602+05:30,107.35,-1.1,-1.014292301,110.25,108.45,108.26,5,108.45,15-11-2021,12:16:39
2021-11-15 12:26:40.306349+05:30,107.35,-1.1,-1.014292301,110.25,108.45,108.25,5,108.45,15-11-2021,12:26:40
2021-11-15 12:36:41.277353+05:30,106.95,-1.5,-1.383125864,110.25,108.45,108.16,5,108.45,15-11-2021,12:36:41
2021-11-15 12:46:42.353190+05:30,106.75,-1.7,-1.567542646,110.25,108.45,108.11,5,108.45,15-11-2021,12:46:42
2021-11-15 12:56:44.776430+05:30,106.8,-1.65,-1.521438451,110.25,108.45,108.08,5,108.45,15-11-2021,12:56:44
2021-11-15 13:06:46.032316+05:30,106.8,-1.65,-1.521438451,110.25,108.45,108.05,5,108.45,15-11-2021,13:06:46
2021-11-15 13:16:47.390799+05:30,106,-2.45,-2.259105579,110.25,108.45,107.94,5,108.45,15-11-2021,13:16:47
2021-11-15 13:26:51.139275+05:30,106.15,-2.3,-2.120792992,110.25,108.45,107.65,5,108.45,15-11-2021,13:26:51
2021-11-15 13:36:52.183011+05:30,106.2,-2.25,-2.074688797,110.25,108.45,107.6,5,108.45,15-11-2021,13:36:52
2021-11-15 13:46:53.465298+05:30,106.2,-2.25,-2.074688797,110.25,108.45,107.56,5,108.45,15-11-2021,13:46:53
2021-11-15 13:56:54.653663+05:30,106.3,-2.15,-1.982480406,110.25,108.45,107.54,5,108.45,15-11-2021,13:56:54
2021-11-15 14:06:55.375917+05:30,106.3,-2.15,-1.982480406,110.25,108.45,107.51,5,108.45,15-11-2021,14:06:55
2021-11-15 14:16:56.236319+05:30,106.55,-1.9,-1.751959428,110.25,108.45,107.49,5,108.45,15-11-2021,14:16:56
2021-11-15 14:26:58.631027+05:30,107.05,-1.4,-1.290917473,110.25,108.45,107.48,5,108.45,15-11-2021,14:26:58
2021-11-15 14:36:59.973211+05:30,107.15,-1.3,-1.198709083,110.25,108.45,107.47,5,108.45,15-11-2021,14:36:59
