"","lat","lon","timezone","timezone_offset","current.dt","current.sunrise","current.sunset","current.temp","current.feels_like","current.pressure","current.humidity","current.dew_point","current.uvi","current.clouds","current.visibility","current.wind_speed","current.wind_deg","current.wind_gust","current.weather.id","current.weather.main","current.weather.description","current.weather.icon","minutely.dt","minutely.precipitation"
"27",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636564920,0
"28",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636564980,0
"29",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565040,0
"30",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565100,0
"31",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565160,0
"32",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565220,0
"33",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565280,0
"34",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565340,0
"35",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565400,0
"36",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565460,0
"37",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565520,0
"38",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565580,0
"39",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565640,0
"40",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565700,0
"41",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565760,0
"42",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565820,0
"43",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565880,0
"44",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636565940,0
"45",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566000,0
"46",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566060,0
"47",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566120,0
"48",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566180,0
"49",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566240,0
"50",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566300,0
"51",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566360,0
"52",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566420,0
"53",11.25,75.78,"Asia/Kolkata",19800,1636563354,1636505481,1636547419,300.71,304.18,1009,80,296.95,0,100,10000,1.61,20,1.87,804,"Clouds","overcast clouds","04n",1636566480,0
