temp,feels_like,temp_min,temp_max,pressure,humidity,Date and Time
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:05
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:08
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:11
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:14
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:17
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:20
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:23
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:26
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:29
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:32
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:35
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:38
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:41
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:44
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:47
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:50
299.38,299.38,299.38,302.88,1011,78,16-11-2021 14:53
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:56
299.38,299.38,299.38,301.88,1011,78,16-11-2021 14:59
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:02
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:05
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:08
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:11
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:14
299.38,299.38,299.38,301.88,1011,78,16-11-2021 15:17
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:20
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:23
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:26
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:29
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:32
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:35
299.38,299.38,299.38,301.88,1010,78,16-11-2021 15:38
299.38,299.38,299.38,300.88,1010,78,16-11-2021 17:08
299.38,299.38,299.38,300.88,1010,78,16-11-2021 17:11
