date,time,close,open,price,volume,value_change,percentage_change
2021-11-16,09:57:34,773.3,773.3,770.05,2442226,-3.25,-0.42027673606621
2021-11-16,10:11:54,773.3,773.3,770.5,2799125,-2.79999999999995,-0.362084572610883
2021-11-16,10:14:55,773.3,773.3,771,2920995,-2.29999999999995,-0.297426613216081
2021-11-16,10:17:56,773.3,773.3,770.6,3040191,-2.69999999999993,-0.349152980731919
2021-11-16,10:20:57,773.3,773.3,770,3104149,-3.29999999999995,-0.426742532005684
2021-11-16,10:23:58,773.3,773.3,770.15,3140508,-3.14999999999998,-0.407345144187247
2021-11-16,10:26:59,773.3,773.3,770.05,3200503,-3.25,-0.42027673606621
2021-11-16,10:30:01,773.3,773.3,770,3234420,-3.29999999999995,-0.426742532005684
2021-11-16,10:33:02,773.3,773.3,768.9,3356850,-4.39999999999998,-0.56899004267425
2021-11-16,10:36:03,773.3,773.3,768.8,3395800,-4.5,-0.581921634553214
2021-11-16,10:39:04,773.3,773.3,768.1,3640957,-5.19999999999993,-0.672442777705927
2021-11-16,10:42:06,773.3,773.3,768.7,3699525,-4.59999999999991,-0.594853226432162
2021-11-16,10:45:07,773.3,773.3,768.85,3776397,-4.44999999999993,-0.575455838613725
2021-11-16,10:48:08,773.3,773.3,769.3,3831768,-4,-0.517263675158412
2021-11-16,10:51:09,773.3,773.3,767.9,3935004,-5.39999999999998,-0.698305961463853
2021-11-16,10:54:11,773.3,773.3,768,3974186,-5.29999999999995,-0.68537436958489
2021-11-16,11:17:00,773.3,773.3,765.95,4621175,-7.34999999999991,-0.95047200310357
2021-11-16,11:20:01,773.3,773.3,765.2,4753853,-8.09999999999991,-1.04745894219577
2021-11-16,11:23:02,773.3,773.3,765.7,4785099,-7.59999999999991,-0.982800982800971
2021-11-16,11:26:03,773.3,773.3,766.75,4830982,-6.54999999999995,-0.847019268071894
2021-11-16,11:29:05,773.3,773.3,768,4952088,-5.29999999999995,-0.68537436958489
2021-11-16,11:32:06,773.3,773.3,768.2,5026749,-5.09999999999991,-0.659511185826964
2021-11-16,11:35:07,773.3,773.3,768.65,5082681,-4.64999999999998,-0.601319022371651
2021-11-16,11:38:09,773.3,773.3,768.75,5106231,-4.54999999999995,-0.588387430492688
2021-11-16,11:41:10,773.3,773.3,768.05,5149825,-5.25,-0.678908573645416
2021-11-16,11:44:12,773.3,773.3,769.65,5225112,-3.64999999999998,-0.472003103582048
2021-11-16,11:47:13,773.3,773.3,769.1,5295298,-4.19999999999993,-0.543126858916324
2021-11-16,11:50:15,773.3,773.3,769.4,5316350,-3.89999999999998,-0.504332083279449
2021-11-16,11:53:16,773.3,773.3,769.1,5350880,-4.19999999999993,-0.543126858916324
2021-11-16,11:56:17,773.3,773.3,768.95,5386023,-4.34999999999991,-0.562524246734761
2021-11-16,11:59:18,773.3,773.3,769,5420880,-4.29999999999995,-0.556058450795287
2021-11-16,12:02:19,773.3,773.3,769.2,5455818,-4.09999999999991,-0.530195267037361
2021-11-16,12:19:34,773.3,773.3,769.4,5830715,-3.89999999999998,-0.504332083279449
2021-11-16,12:22:36,773.3,773.3,769.7,6602940,-3.59999999999991,-0.465537307642559
2021-11-16,12:25:37,773.3,773.3,768.8,6633053,-4.5,-0.581921634553214
2021-11-16,12:28:38,773.3,773.3,768.85,6740049,-4.44999999999993,-0.575455838613725
2021-11-16,12:31:40,773.3,773.3,768.8,6823820,-4.5,-0.581921634553214
2021-11-16,12:34:41,773.3,773.3,769,6891805,-4.29999999999995,-0.556058450795287
2021-11-16,12:37:44,773.3,773.3,768.5,6931529,-4.79999999999995,-0.620716410190089
2021-11-16,12:40:45,773.3,773.3,768.25,6964152,-5.04999999999995,-0.653045389887489
2021-11-16,12:43:47,773.3,773.3,768.5,6986777,-4.79999999999995,-0.620716410190089
2021-11-16,12:46:49,773.3,773.3,768.45,7067399,-4.84999999999991,-0.627182206129563
2021-11-16,12:49:50,773.3,773.3,768.5,7092531,-4.79999999999995,-0.620716410190089
2021-11-16,12:52:52,773.3,773.3,768.45,7119541,-4.84999999999991,-0.627182206129563
2021-11-16,12:55:53,773.3,773.3,768.65,7161062,-4.64999999999998,-0.601319022371651
2021-11-16,12:58:55,773.3,773.3,768.7,7190119,-4.59999999999991,-0.594853226432162
2021-11-16,13:01:56,773.3,773.3,768.95,7218224,-4.34999999999991,-0.562524246734761
2021-11-16,13:04:58,773.3,773.3,768.65,7290320,-4.64999999999998,-0.601319022371651
2021-11-16,13:07:59,773.3,773.3,768.7,7319448,-4.59999999999991,-0.594853226432162
2021-11-16,13:11:01,773.3,773.3,768.95,7430943,-4.34999999999991,-0.562524246734761
2021-11-16,13:14:02,773.3,773.3,769,7481754,-4.29999999999995,-0.556058450795287
2021-11-16,13:17:03,773.3,773.3,769.45,8054260,-3.84999999999991,-0.49786628733996
2021-11-16,13:20:04,773.3,773.3,769.6,8134995,-3.69999999999993,-0.478468899521522
2021-11-16,13:23:06,773.3,773.3,769,8209583,-4.29999999999995,-0.556058450795287
2021-11-16,13:26:07,773.3,773.3,767.45,8252523,-5.84999999999991,-0.756498124919166
2021-11-16,13:29:08,773.3,773.3,767.95,8285618,-5.34999999999991,-0.691840165524364
2021-11-16,13:32:10,773.3,773.3,768.35,8324666,-4.94999999999993,-0.640113798008526
2021-11-16,13:35:12,773.3,773.3,767.4,8377189,-5.89999999999998,-0.762963920858655
2021-11-16,13:38:13,773.3,773.3,767.65,8438724,-5.64999999999998,-0.730634941161254
2021-11-16,13:41:14,773.3,773.3,767.45,8475548,-5.84999999999991,-0.756498124919166
2021-11-16,13:44:16,773.3,773.3,767.7,8506044,-5.59999999999991,-0.724169145221765
2021-11-16,13:47:17,773.3,773.3,767.25,8530134,-6.04999999999995,-0.782361308677092
2021-11-16,13:50:18,773.3,773.3,767.3,8577312,-6,-0.775895512737618
2021-11-16,13:53:20,773.3,773.3,767.1,8624194,-6.19999999999993,-0.80175869649553
2021-11-16,13:56:21,773.3,773.3,767.25,8696871,-6.04999999999995,-0.782361308677092
2021-11-16,13:59:23,773.3,773.3,767.55,8736184,-5.75,-0.743566533040217
2021-11-16,14:02:26,773.3,773.3,767.7,8816988,-5.59999999999991,-0.724169145221765
2021-11-16,14:05:27,773.3,773.3,768,8901780,-5.29999999999995,-0.68537436958489
2021-11-16,14:08:29,773.3,773.3,766.5,8976497,-6.79999999999995,-0.879348247769295
2021-11-16,14:11:30,773.3,773.3,766.25,9021371,-7.04999999999995,-0.911677227466695
2021-11-16,14:14:31,773.3,773.3,765.7,9067980,-7.59999999999991,-0.982800982800971
2021-11-16,14:17:32,773.3,773.3,765.05,9155670,-8.25,-1.06685633001422
2021-11-16,14:20:34,773.3,773.3,765.05,9228184,-8.25,-1.06685633001422
2021-11-16,14:23:35,773.3,773.3,764.6,9318124,-8.69999999999993,-1.12504849346954
2021-11-16,14:38:10,773.3,773.3,764.4,9841348,-8.89999999999998,-1.15091167722746
2021-11-16,14:38:42,773.3,773.3,764.1,9847609,-9.19999999999993,-1.18970645286434
2021-11-16,14:41:43,773.3,773.3,764.1,9902154,-9.19999999999993,-1.18970645286434
2021-11-16,14:44:44,773.3,773.3,763.7,9977364,-9.59999999999991,-1.24143282038018
2021-11-16,14:47:45,773.3,773.3,764.15,10067178,-9.14999999999998,-1.18324065692486
2021-11-16,15:01:02,773.3,773.3,766.3,10604197,-7,-0.905211431527221
2021-11-16,15:01:10,773.3,773.3,766.2,10609632,-7.09999999999991,-0.91814302340617
2021-11-17,14:33:02,764.05,760.9,763.9,8767538,3,0.394269943487975
2021-11-17,14:36:04,764.05,760.9,764,8837642,3.10000000000002,0.407412274937577
2021-11-17,14:39:05,764.05,760.9,763.8,8909586,2.89999999999998,0.381127612038373
2021-11-17,14:42:08,764.05,760.9,764.15,8969903,3.25,0.427125772111973
2021-11-17,14:45:10,764.05,760.9,764.1,9028730,3.20000000000005,0.420554606387179
2021-11-17,14:48:11,764.05,760.9,763.4,9100522,2.5,0.328558286239979
2021-11-17,14:51:13,764.05,760.9,762.85,9221953,1.95000000000005,0.25627546326719
2021-11-17,14:54:14,764.05,760.9,762.7,9290803,1.80000000000007,0.236561966092794
2021-11-17,14:57:15,764.05,760.9,763.8,9355948,2.89999999999998,0.381127612038373
2021-11-17,15:00:17,764.05,760.9,762.85,9468741,1.95000000000005,0.25627546326719
2021-11-17,15:03:18,764.05,760.9,762.5,9578196,1.60000000000002,0.21027730319359
2021-11-17,15:06:19,764.05,760.9,761.8,9851612,0.899999999999977,0.118280983046389
2021-11-17,15:09:20,764.05,760.9,762.45,10010294,1.55000000000007,0.203706137468796
2021-11-17,15:12:21,764.05,760.9,761.8,10158116,0.899999999999977,0.118280983046389
2021-11-18,11:16:46,761.3,764.9,760.35,NA,-4.54999999999995,-0.594848999869258
2021-11-18,11:53:51,761.3,764.9,763.75,NA,-1.14999999999998,-0.150346450516404
2021-11-18,11:56:51,761.3,764.9,762.15,NA,-2.75,-0.359524120800105
2021-11-18,11:59:53,761.3,764.9,762.65,NA,-2.25,-0.294156098836449
2021-11-18,12:02:54,761.3,764.9,762.4,NA,-2.5,-0.326840109818277
2021-11-18,12:05:55,761.3,764.9,763.4,NA,-1.5,-0.196104065890966
2021-11-18,12:08:57,761.3,764.9,763.75,NA,-1.14999999999998,-0.150346450516404
2021-11-18,12:11:58,761.3,764.9,763.4,NA,-1.5,-0.196104065890966
2021-11-18,13:43:02,761.3,764.9,762.4,NA,-2.5,-0.326840109818277
2021-11-18,13:46:03,761.3,764.9,763.95,NA,-0.949999999999932,-0.124199241730936
