"","Date_Time","Temperature(°C)","outlook","Feels_like(°C)","Forecast(°C)","Wind(km/h)","Humidity(%)","Location","Visibility(km)","Pressure(mbar)","Dew_point(°C)"
"243",2021-11-20 21:04:52,28," Fog",33," 30 / 27 ",11," 84"," Madras / Minambakkam",5,1008,25
"244",2021-11-20 21:07:06,28," Fog",33," 30 / 27 ",11," 84"," Madras / Minambakkam",5,1008,25
"245",2021-11-20 22:01:03,28," Fog",33," 30 / 27 ",11," 84"," Madras / Minambakkam",5,1008,25
"246",2021-11-20 23:01:01,27," Fog",31," 30 / 26 ",0," 89"," Madras / Minambakkam",4,1008,25
"247",2021-11-21 00:01:02,27,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1008,24
"248",2021-11-21 01:01:02,27,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1008,24
"249",2021-11-21 02:01:02,27,"Fog",22," 24 / 23 ",13,"89","Madras / Minambakkam",2,1007,24
"250",2021-11-21 03:01:02,26,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1007,24
"251",2021-11-21 04:01:02,27,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",3,1006,24
"252",2021-11-21 05:01:02,26,"Fog",22," 24 / 23 ",6,"94","Madras / Minambakkam",3,1006,24
"253",2021-11-21 06:01:02,26,"Fog",22," 24 / 23 ",6,"94","Madras / Minambakkam",3,1007,24
"254",2021-11-21 07:01:02,26,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1007,24
"255",2021-11-21 08:01:02,26,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",2,1008,24
"256",2021-11-21 09:01:02,26,"Fog",22," 24 / 23 ",0,"89","Madras / Minambakkam",4,1010,24
"257",2021-11-21 10:01:02,26,"Fog",22," 24 / 23 ",0,"74","Madras / Minambakkam",5,1010,24
"258",2021-11-21 11:01:02,26,"Scattered clouds",22," 24 / 23 ",0,"70","Madras / Minambakkam",5,1009,24
"259",2021-11-21 12:25:02,32," Scattered clouds",39," 30 / 26 ",6," 67"," Madras / Minambakkam",5,1009,25
"260",2021-11-21 13:01:03,31," Scattered clouds",38," 30 / 26 ",7," 70"," Madras / Minambakkam",5,1008,25
"261",2021-11-21 14:01:03,31," Scattered clouds",38," 30 / 26 ",11," 70"," Madras / Minambakkam",4,1007,25
"262",2021-11-21 15:01:06,31," Fog",38," 30 / 26 ",11," 70"," Madras / Minambakkam",4,1007,25
"263",2021-11-21 16:01:01,30," Scattered clouds",36," 30 / 26 ",9," 75"," Madras / Minambakkam",4,1007,25
"264",2021-11-21 17:01:01,30," Scattered clouds",36," 30 / 26 ",11," 75"," Madras / Minambakkam",4,1007,25
"265",2021-11-21 18:01:02,29," Fog",35," 30 / 26 ",11," 79"," Madras / Minambakkam",4,1008,25
"266",2021-11-21 19:01:01,28," Fog",33," 30 / 26 ",0," 84"," Madras / Minambakkam",5,1008,25
"267",2021-11-21 20:01:01,28," Fog",33," 30 / 26 ",6," 84"," Madras / Minambakkam",5,1010,25
"268",2021-11-21 21:01:01,27," Fog",31," 30 / 26 ",0," 94"," Madras / Minambakkam",5,1010,26
"269",2021-11-21 22:01:02,27," Fog",31," 30 / 26 ",0," 94"," Madras / Minambakkam",5,1010,26
"270",2021-11-21 23:01:02,27," Fog",31," 29 / 26 ",0," 94"," Madras / Minambakkam",5,1011,26
"271",2021-11-22 00:01:02,27," Fog",31," 29 / 26 ",0," 94"," Madras / Minambakkam",5,1010,26
"272",2021-11-22 01:01:02,27," Fog",31," 29 / 26 ",0," 94"," Madras / Minambakkam",4,1010,26
"273",2021-11-22 02:01:02,27," Fog",31," 29 / 26 ",0," 94"," Madras / Minambakkam",3,1010,26
"274",2021-11-22 03:01:02,27,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",3,1010,24
"275",2021-11-22 04:01:02,27,"Fog",22," 24 / 23 ",0,"89","Madras / Minambakkam",3,1009,24
"276",2021-11-22 05:01:02,26,"Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",3,1008,24
"277",2021-11-22 06:01:02,26,"Drizzle Fog",22," 24 / 23 ",0,"94","Madras / Minambakkam",3,1009,24
"278",2021-11-22 07:01:02,26,"Drizzle Fog",22," 24 / 23 ",0,"100","Madras / Minambakkam",2,1009,24
"279",2021-11-22 08:01:02,26,"Drizzle Fog",22," 24 / 23 ",0,"100","Madras / Minambakkam",3,1010,24
"280",2021-11-22 09:27:20,26," Drizzle Fog",28," 30 / 27 ",0," 94"," Madras / Minambakkam",2,1012,25
"281",2021-11-22 10:01:03,26," Thunderstorms Broken clouds",28," 30 / 27 ",7," 94"," Madras / Minambakkam",2,1012,25
"282",2021-11-22 11:01:01,28," Fog",34," 31 / 27 ",15," 89"," Madras / Minambakkam",2,1012,26
"283",2021-11-22 12:01:02,30," Fog",36," 31 / 27 ",9," 75"," Madras / Minambakkam",5,1011,25
"284",2021-11-22 13:01:01,30," Fog",37," 31 / 27 ",9," 79"," Madras / Minambakkam",5,1010,26
"285",2021-11-22 14:01:04,30," Fog",36," 31 / 27 ",17," 75"," Madras / Minambakkam",5,1009,25
"286",2021-11-22 15:01:03,30," Broken clouds",35," 31 / 27 ",13," 70"," Madras / Minambakkam",5,1008,24
"287",2021-11-22 16:01:02,31," Broken clouds",38," 31 / 27 ",9," 70"," Madras / Minambakkam",6,1007,25
"288",2021-11-22 17:01:02,29," Scattered clouds",34," 30 / 27 ",17," 74"," Madras / Minambakkam",6,1007,24
