date,time,open,curr_price,prev_close,vol
11-11-2021,13:31:42,137.5,135,137.4,6241358
11-11-2021,13:32:16,137.5,134.95,137.4,6258669
11-11-2021,13:32:57,137.5,134.9,137.4,6267180
11-11-2021,15:17:55,137.5,136.8,137.4,10933125
11-11-2021,15:27:32,137.5,136.7,137.4,11337468
11-11-2021,15:29:43,137.5,136.6,137.4,11402532
12-11-2021,09:56:09,138.2,136.25,136.65,1223096
12-11-2021,10:12:54,138.2,136.1,136.65,3338598
12-11-2021,10:19:47,138.2,135.85,136.65,3470034
12-11-2021,10:22:03,138.2,135.8,136.65,3494602
12-11-2021,10:32:56,138.2,135.6,136.65,3656562
12-11-2021,10:40:14,138.2,135.45,136.65,3745898
12-11-2021,10:41:02,138.2,135.45,136.65,3751276
12-11-2021,10:46:03,138.2,135.6,136.65,3805737
12-11-2021,10:51:03,138.2,135.4,136.65,3864325
12-11-2021,10:56:02,138.2,135.35,136.65,3930202
12-11-2021,10:56:30,138.2,135.3,136.65,3930899
12-11-2021,11:01:03,138.2,135.4,136.65,4010776
12-11-2021,11:06:02,138.2,135.5,136.65,4124419
12-11-2021,11:06:31,138.2,135.4,136.65,4133268
12-11-2021,11:11:03,138.2,135.6,136.65,4295239
12-11-2021,11:16:02,138.2,135.45,136.65,4393289
12-11-2021,11:16:31,138.2,135.45,136.65,4399589
12-11-2021,11:26:02,138.2,135.5,136.65,4457108
12-11-2021,11:26:31,138.2,135.45,136.65,4459751
12-11-2021,11:31:02,138.2,135.3,136.65,4497400
12-11-2021,11:36:02,138.2,135.2,136.65,4574484
12-11-2021,11:41:02,138.2,135.2,136.65,4611369
12-11-2021,11:46:02,138.2,135.15,136.65,4651142
12-11-2021,11:46:31,138.2,135.15,136.65,4652059
12-11-2021,11:51:02,138.2,135.1,136.65,4686596
12-11-2021,12:37:21,138.2,135,136.65,5129621
12-11-2021,12:41:07,138.2,134.95,136.65,5165468
12-11-2021,12:43:23,138.2,134.95,136.65,5170721
12-11-2021,12:53:51,138.2,135,136.65,5284757
12-11-2021,12:56:31,138.2,134.9,136.65,5316173
12-11-2021,12:59:49,138.2,134.85,136.65,5336831
12-11-2021,13:03:26,138.2,134.8,136.65,5356678
12-11-2021,13:06:18,138.2,134.85,136.65,5416031
12-11-2021,13:08:29,138.2,134.9,136.65,5431959
12-11-2021,13:09:00,138.2,134.9,136.65,5433418
12-11-2021,13:13:27,138.2,134.9,136.65,5454718
12-11-2021,13:18:20,138.2,134.95,136.65,5505002
12-11-2021,13:23:35,138.2,135,136.65,5582400
12-11-2021,13:26:59,138.2,135,136.65,5660992
12-11-2021,13:28:01,138.2,135,136.65,5670082
12-11-2021,13:33:02,138.2,135.25,136.65,5811314
12-11-2021,13:53:02,138.2,135.8,136.65,6157682
12-11-2021,13:56:31,138.2,135.65,136.65,6186699
12-11-2021,13:58:02,138.2,135.65,136.65,6205029
12-11-2021,14:03:02,138.2,135.75,136.65,6262917
12-11-2021,14:06:31,138.2,135.55,136.65,6463310
12-11-2021,14:18:04,138.2,135.85,136.65,6638670
12-11-2021,14:23:03,138.2,135.95,136.65,6694667
12-11-2021,14:28:03,138.2,135.9,136.65,6727825
12-11-2021,14:33:02,138.2,135.95,136.65,6769660
12-11-2021,14:38:03,138.2,135.85,136.65,6811174
12-11-2021,14:43:04,138.2,136.15,136.65,7361484
12-11-2021,14:48:03,138.2,136.1,136.65,7646125
12-11-2021,14:53:03,138.2,136.2,136.65,7773231
12-11-2021,14:58:03,138.2,136.2,136.65,7855232
12-11-2021,15:03:03,138.2,136.35,136.65,7953181
12-11-2021,15:08:03,138.2,136.45,136.65,8404463
12-11-2021,15:13:18,138.2,136.4,136.65,8492792
12-11-2021,15:18:03,138.2,136.25,136.65,8636908
12-11-2021,15:23:03,138.2,136.3,136.65,8851204
12-11-2021,15:28:03,138.2,136.65,136.65,9191475
12-11-2021,15:33:03,138.2,136.45,136.65,15712001
12-11-2021,16:35:56,138.2,136.45,136.65,15712001
12-11-2021,16:36:31,138.2,136.45,136.65,15712001
12-11-2021,16:46:31,138.2,136.45,136.65,15712001
12-11-2021,16:56:31,138.2,136.45,136.65,15712001
12-11-2021,17:06:31,138.2,136.45,136.65,15642756
12-11-2021,17:16:34,138.2,136.45,136.65,15642756
15-11-2021,09:33:03,137.3,136.8,136.45,612282
15-11-2021,09:34:45,137.3,136.55,136.45,630102
15-11-2021,09:38:03,137.3,136.25,136.45,677168
15-11-2021,09:43:02,137.3,136.65,136.45,747361
15-11-2021,09:44:45,137.3,136.7,136.45,762500
15-11-2021,09:48:03,137.3,136.8,136.45,805916
15-11-2021,09:53:03,137.3,137,136.45,865498
15-11-2021,09:54:46,137.3,136.95,136.45,914900
15-11-2021,09:58:02,137.3,137.05,136.45,955358
15-11-2021,10:03:03,137.3,137.1,136.45,1006450
15-11-2021,10:04:45,137.3,136.95,136.45,1025554
15-11-2021,10:08:03,137.3,136.8,136.45,1074250
15-11-2021,10:13:03,137.3,137,136.45,1122709
15-11-2021,10:18:03,137.3,137,136.45,1154082
15-11-2021,10:23:03,137.3,137.2,136.45,1221038
15-11-2021,10:28:03,137.3,137.6,136.45,1433562
15-11-2021,10:33:03,137.3,137.45,136.45,1513121
15-11-2021,10:38:03,137.3,137.35,136.45,1557274
15-11-2021,10:43:03,137.3,137.35,136.45,1590320
15-11-2021,10:48:03,137.3,137.25,136.45,1620227
15-11-2021,10:53:03,137.3,137.25,136.45,1646051
15-11-2021,10:58:03,137.3,137.25,136.45,1703256
15-11-2021,11:03:03,137.3,137.25,136.45,1728227
15-11-2021,11:08:03,137.3,137.3,136.45,1760119
15-11-2021,11:13:03,137.3,137.15,136.45,1795145
15-11-2021,11:18:03,137.3,137.15,136.45,1829890
15-11-2021,11:23:03,137.3,136.65,136.45,1892776
15-11-2021,11:26:37,137.3,136.4,136.45,1930241
15-11-2021,11:28:02,137.3,136.4,136.45,1944392
15-11-2021,11:34:46,137.3,136.3,136.45,2017808
15-11-2021,11:44:46,137.3,136.1,136.45,2103669
15-11-2021,11:49:19,137.3,136.4,136.45,1985978
15-11-2021,11:53:03,137.3,136.4,136.45,2159037
15-11-2021,11:54:46,137.3,136.4,136.45,2169185
15-11-2021,11:58:03,137.3,136.15,136.45,2184400
15-11-2021,12:03:03,137.3,136.25,136.45,2200693
15-11-2021,12:08:03,137.3,136.3,136.45,2213062
15-11-2021,12:13:03,137.3,136.3,136.45,2222018
15-11-2021,12:18:03,137.3,136.3,136.45,2238063
15-11-2021,12:23:04,137.3,136.5,136.45,2267871
15-11-2021,12:28:03,137.3,136.25,136.45,2318874
15-11-2021,12:33:03,137.3,136.4,136.45,2332824
15-11-2021,12:38:04,137.3,136.55,136.45,2346755
15-11-2021,12:43:03,137.3,136.5,136.45,2360210
15-11-2021,12:48:03,137.3,136.5,136.45,2373672
15-11-2021,12:53:03,137.3,136.45,136.45,2387735
15-11-2021,12:58:03,137.3,136.45,136.45,2400633
15-11-2021,13:03:03,137.3,136.4,136.45,2416594
15-11-2021,13:08:03,137.3,136.45,136.45,2426320
15-11-2021,13:13:03,137.3,136.3,136.45,2444509
15-11-2021,13:18:03,137.3,136.3,136.45,2499406
15-11-2021,13:23:03,137.3,136.35,136.45,2524877
15-11-2021,13:28:03,137.3,136.25,136.45,2544227
15-11-2021,13:33:03,137.3,136.1,136.45,2563444
15-11-2021,13:38:03,137.3,136.3,136.45,2577365
15-11-2021,13:43:03,137.3,136.3,136.45,2589757
15-11-2021,13:48:03,137.3,136.25,136.45,2628726
15-11-2021,13:53:03,137.3,136.25,136.45,2646297
15-11-2021,13:58:03,137.3,136.25,136.45,2664064
15-11-2021,14:03:03,137.3,136.4,136.45,2681534
15-11-2021,14:05:21,137.3,136.4,136.45,2688189
15-11-2021,14:08:02,137.3,136.45,136.45,2700036
15-11-2021,14:13:03,137.3,136.65,136.45,2869296
15-11-2021,14:14:46,137.3,136.7,136.45,2877112
15-11-2021,14:18:02,137.3,136.75,136.45,2909119
15-11-2021,14:23:02,137.3,136.85,136.45,2937709
15-11-2021,14:24:46,137.3,136.95,136.45,2963641
15-11-2021,14:28:02,137.3,137.1,136.45,3002779
15-11-2021,14:33:03,137.3,136.95,136.45,3045438
15-11-2021,14:34:46,137.3,137,136.45,3050289
15-11-2021,14:38:03,137.3,137.1,136.45,3069990
15-11-2021,14:43:03,137.3,136.9,136.45,3121358
15-11-2021,14:44:46,137.3,136.8,136.45,3131468
15-11-2021,14:48:03,137.3,136.65,136.45,3159858
15-11-2021,14:53:03,137.3,136.65,136.45,3177119
15-11-2021,14:58:03,137.3,136.8,136.45,3203396
15-11-2021,15:03:03,137.3,137.05,136.45,3277893
15-11-2021,15:08:04,137.3,137.1,136.45,3402640
15-11-2021,15:13:04,137.3,137.1,136.45,3483461
15-11-2021,15:18:04,137.3,137.1,136.45,3640224
15-11-2021,15:23:03,137.3,137.2,136.45,3813183
15-11-2021,15:28:03,137.3,137.15,136.45,3955153
15-11-2021,15:33:04,137.3,137.15,136.45,15750368
16-11-2021,07:44:45,137.3,137.15,136.45,15560713
16-11-2021,07:54:45,137.3,137.15,136.45,15560713
16-11-2021,08:04:45,137.3,137.15,136.45,15560713
16-11-2021,08:14:45,137.3,137.15,136.45,15560713
16-11-2021,10:05:01,137.7,136.45,137.15,1037332
16-11-2021,10:12:03,137.7,136.45,137.15,1087480
16-11-2021,10:17:06,137.7,136.35,137.15,1171011
16-11-2021,10:22:03,137.7,136.2,137.15,1240446
16-11-2021,10:27:03,137.7,136.25,137.15,1255968
16-11-2021,10:32:03,137.7,136.05,137.15,1330103
16-11-2021,10:37:03,137.7,135.85,137.15,1457997
16-11-2021,10:42:04,137.7,135.85,137.15,1521354
16-11-2021,10:47:04,137.7,135.7,137.15,1611795
16-11-2021,10:52:03,137.7,135.7,137.15,1665061
16-11-2021,10:57:03,137.7,135.65,137.15,1720667
16-11-2021,11:02:03,137.7,135.65,137.15,1760316
16-11-2021,11:07:04,137.7,135.65,137.15,1802853
16-11-2021,11:12:03,137.7,135.45,137.15,1862566
16-11-2021,11:17:03,137.7,135.5,137.15,1928847
16-11-2021,11:22:03,137.7,135.5,137.15,1970120
16-11-2021,11:27:03,137.7,135.75,137.15,1995447
16-11-2021,11:32:03,137.7,135.9,137.15,2034317
16-11-2021,11:37:03,137.7,135.95,137.15,2086972
16-11-2021,11:42:03,137.7,136,137.15,2137444
16-11-2021,11:47:03,137.7,136.1,137.15,2200074
16-11-2021,11:52:03,137.7,136.1,137.15,2241355
16-11-2021,11:57:03,137.7,135.85,137.15,2284315
16-11-2021,12:00:27,137.7,135.8,137.15,2301632
16-11-2021,12:02:02,137.7,135.75,137.15,2312013
16-11-2021,12:04:45,137.7,135.75,137.15,2333367
16-11-2021,12:07:03,137.7,135.85,137.15,2358445
16-11-2021,12:10:26,137.7,135.85,137.15,2380673
16-11-2021,12:12:06,137.7,135.95,137.15,2386999
16-11-2021,12:14:45,137.7,135.85,137.15,2396233
16-11-2021,12:17:03,137.7,135.85,137.15,2414669
16-11-2021,12:20:27,137.7,135.75,137.15,2436153
16-11-2021,12:22:03,137.7,135.75,137.15,2444546
16-11-2021,12:24:45,137.7,135.7,137.15,2456026
16-11-2021,12:27:06,137.7,135.6,137.15,2482511
16-11-2021,12:30:28,137.7,135.5,137.15,2521414
16-11-2021,12:32:03,137.7,135.55,137.15,2536946
16-11-2021,12:34:46,137.7,135.6,137.15,2554312
16-11-2021,12:37:03,137.7,135.4,137.15,2588315
16-11-2021,12:40:27,137.7,135.4,137.15,2615728
16-11-2021,12:42:03,137.7,135.45,137.15,2626211
16-11-2021,12:47:03,137.7,135.45,137.15,2652284
16-11-2021,12:52:03,137.7,135.4,137.15,2676233
16-11-2021,12:57:05,137.7,135.4,137.15,2704610
16-11-2021,12:58:03,137.7,135.4,137.15,2711064
16-11-2021,13:00:29,137.7,135.4,137.15,2729210
16-11-2021,13:02:03,137.7,135.45,137.15,2739085
16-11-2021,13:04:46,137.7,135.4,137.15,2761715
16-11-2021,13:07:02,137.7,135.4,137.15,2781143
16-11-2021,13:10:27,137.7,135.5,137.15,2801758
16-11-2021,13:12:03,137.7,135.55,137.15,2815200
16-11-2021,13:17:03,137.7,135.5,137.15,2873807
16-11-2021,13:22:03,137.7,135.55,137.15,2905547
16-11-2021,13:27:03,137.7,135.5,137.15,2931122
16-11-2021,13:32:03,137.7,135.55,137.15,2980591
16-11-2021,13:37:03,137.7,135.55,137.15,3018176
16-11-2021,13:42:03,137.7,135.55,137.15,3058161
16-11-2021,13:47:03,137.7,135.55,137.15,3094410
16-11-2021,13:52:03,137.7,135.55,137.15,3146601
16-11-2021,13:57:03,137.7,135.6,137.15,3202719
16-11-2021,14:02:03,137.7,135.85,137.15,3363583
16-11-2021,14:07:03,137.7,135.45,137.15,3472303
16-11-2021,14:12:03,137.7,135.25,137.15,3646005
16-11-2021,14:17:03,137.7,135.1,137.15,3777571
16-11-2021,14:22:03,137.7,135,137.15,3864000
16-11-2021,14:27:03,137.7,134.75,137.15,3997130
16-11-2021,14:32:03,137.7,134.7,137.15,4096779
16-11-2021,14:37:03,137.7,134.8,137.15,4179939
16-11-2021,14:42:03,137.7,134.5,137.15,4275288
16-11-2021,14:47:06,137.7,134.65,137.15,4367117
16-11-2021,14:52:03,137.7,134.35,137.15,4554058
16-11-2021,14:57:03,137.7,134.45,137.15,4682061
16-11-2021,15:02:03,137.7,134.7,137.15,4820585
16-11-2021,15:07:03,137.7,134.55,137.15,4946985
16-11-2021,15:12:03,137.7,134.6,137.15,5088972
16-11-2021,15:17:03,137.7,134.3,137.15,5237895
16-11-2021,15:22:03,137.7,134.05,137.15,5489689
16-11-2021,15:27:03,137.7,134.05,137.15,5650565
16-11-2021,15:27:55,137.7,134.2,137.15,5679869
16-11-2021,15:30:27,137.7,134.25,137.15,5759718
16-11-2021,15:32:03,137.7,134.3,137.15,15560713
17-11-2021,10:02:04,134,137.2,134.3,5262950
17-11-2021,10:07:04,134,137.1,134.3,5739755
17-11-2021,10:12:04,134,136.6,134.3,5980097
17-11-2021,10:17:04,134,136.45,134.3,6188068
17-11-2021,10:22:04,134,136.45,134.3,6385378
17-11-2021,10:27:04,134,137.1,134.3,6558296
17-11-2021,10:32:04,134,137.2,134.3,6725286
17-11-2021,10:37:04,134,137.2,134.3,7019215
17-11-2021,10:42:04,134,137.15,134.3,7211513
17-11-2021,10:47:04,134,137.2,134.3,7335950
17-11-2021,10:52:04,134,137,134.3,7508514
17-11-2021,10:57:05,134,136.9,134.3,7598967
17-11-2021,11:02:04,134,136.7,134.3,7640080
17-11-2021,11:07:04,134,136.9,134.3,7721636
17-11-2021,11:12:04,134,136.9,134.3,7765121
17-11-2021,11:17:04,134,136.6,134.3,7849485
17-11-2021,11:22:04,134,136.75,134.3,7928860
17-11-2021,11:27:04,134,136.95,134.3,8074501
17-11-2021,11:32:04,134,136.75,134.3,8203044
17-11-2021,11:37:04,134,136.6,134.3,8251454
17-11-2021,11:42:04,134,136.5,134.3,8310552
17-11-2021,11:47:04,134,136.2,134.3,8404019
17-11-2021,11:52:04,134,136.25,134.3,8489267
17-11-2021,11:57:04,134,136.1,134.3,8559784
