Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
"Noida, UP, India",11-10-2021 15:00,81.3,81.3,81.3,,80.2,0,,,4.7,,,1.2,,32.84,Clear
"Noida, UP, India",11-10-2021 15:30,83.1,83.1,83.1,,81.9,0,,,4.7,301,,1,0,35.38,Clear
"Noida, UP, India",11-10-2021 16:00,82.6,82.6,82.6,,82.2,0,,,4.7,253,,1,,41.9,Clear
"Noida, UP, India",11-10-2021 16:30,83.1,83.1,83.1,,84.3,0,,,4.7,250,,0.6,0,51.59,Clear
"Noida, UP, India",11-10-2021 17:00,77.1,77.1,77.1,,,0,,,4.7,280,,1.9,,48.28,Clear
"Noida, UP, India",11-10-2021 17:30,78,78,78,,,0,,,2.8,271,,0.9,22.5,57.36,Clear
"Noida, UP, India",11-10-2021 18:00,75.2,75.2,75.2,,,0,,,,,,1.2,,51.41,Clear
"Noida, UP, India",11-10-2021 18:30,74.3,74.3,74.3,,,0,,,0,0,,1.2,0,53.16,Clear
"Noida, UP, India",11-10-2021 19:00,72.8,72.8,72.8,,,0,,,0,0,,1.2,,61.52,Clear
"Noida, UP, India",11-10-2021 19:30,72.7,72.7,72.7,,,0,,,0,0,,1.2,0,59.11,Clear
"Noida, UP, India",11-10-2021 20:00,72.3,72.3,72.3,,,0,,,0,0,,1.2,,62.98,Clear
"Noida, UP, India",11-10-2021 20:30,68.9,68.9,68.9,,,0,,,0,,,0.8,20.9,75.59,Clear
"Noida, UP, India",11-10-2021 21:00,70.9,70.9,70.9,,,0,,,0,,,1.2,,63.49,Clear
"Noida, UP, India",11-10-2021 21:30,70.9,70.9,70.9,,,0,,,0,0,,1.2,0,60.15,Clear
"Noida, UP, India",11-10-2021 22:00,69.4,69.4,69.4,,,0,,,0,0,,1.2,,66.45,Clear
"Noida, UP, India",11-10-2021 22:30,69.6,69.6,69.6,,,0,,,0,0,,1.2,0,62.88,Clear
